customer_id,customer_name,city
1,Andee Peckham,Bursa
2,Caritta Thonger,Antalya
3,Tammy Trunks,Mersin
4,Karin Stevings,İstanbul
5,Maynord Gambrell,Gaziantep
6,Raeann Hanscom,Kayseri
7,Kordula Haugg,Antalya
8,Caril Seddon,Gaziantep
9,Leupold Kenewell,Gaziantep
10,Christan Giottini,Konya
11,Orbadiah Fuzzey,Bursa
12,Celestine Tuminelli,Bursa
13,Nolie Gridley,Konya
14,Hamilton Simmers,Adana
15,Ruby Kleuer,İzmir
16,Tallulah Nansom,İzmir
17,Say Dupree,Gaziantep
18,Husein Bulcock,Adana
19,Gabe Mation,İzmir
20,Marlee Stowers,İzmir
21,Maxy Wehnerr,Mersin
22,Albina Gorman,Adana
23,Carlin Muirhead,Bursa
24,Rosalinde Loomis,Antalya
25,Sebastiano Nutbrown,Konya
26,Shae Gerren,İzmir
27,Jeffy Woodfield,İstanbul
28,Chalmers Twoohy,Kayseri
29,Audi Thomke,Mersin
30,Zelma Gostyke,İzmir
31,Stephine Traves,Bursa
32,Patrica Bollands,Bursa
33,Milka Bickford,Kayseri
34,Urbain Patemore,Kayseri
35,Florie Balle,Mersin
36,Phelia Broad,İstanbul
37,Cathleen Camps,İstanbul
38,Remus Sparwell,Adana
39,Myron Dehm,Antalya
40,Wilie Wiburn,Bursa
41,Elmore Foden,Ankara
42,Valma Pimlott,İstanbul
43,Yalonda Edrich,Kayseri
44,Hildegaard Scandrett,İzmir
45,Lolly Gasking,Mersin
46,Bill Varren,Bursa
47,Gillian Lujan,İzmir
48,Lianna Mordie,Antalya
49,Marge Warriner,Kayseri
50,Codi Boulde,İstanbul
51,Wally D'Adamo,Konya
52,Cris Ethridge,Konya
53,Patsy Joanic,Kayseri
54,Danika Sturridge,Gaziantep
55,Ayn Stuehmeier,Mersin
56,Cherise Erangy,Mersin
57,Toni Beesley,Antalya
58,Blanch Tours,Antalya
59,Moira Swaile,Ankara
60,Revkah Ferie,İzmir
61,Lari Ratray,İzmir
62,Hermy Curnnok,Konya
63,Katee Luney,Gaziantep
64,Orran Waleworke,Bursa
65,Isador Kleinpeltz,Ankara
66,Edward Fellman,Mersin
67,Sofia Geldert,İzmir
68,Ralph Dillingston,Ankara
69,Becka Baggelley,Adana
70,Moira Farny,Konya
71,Eden Boatwright,Antalya
72,Stevy Bosche,İzmir
73,Royce Kyndred,Bursa
74,Shirlee Elleyne,Kayseri
75,Bert Roon,Mersin
76,Salomo Quinby,İstanbul
77,Amabel Bengal,Gaziantep
78,Lucius Legan,İstanbul
79,Merilee De Cruce,Ankara
80,Christiana MacGahey,Adana
81,Carin Crookall,Konya
82,Sunshine Salle,Mersin
83,Gianna O'Loghlen,Konya
84,Tristam Heater,Antalya
85,Emeline Tynewell,Antalya
86,Latashia Rulf,Kayseri
87,Dominique Gogin,İstanbul
88,Gavrielle Crimpe,İstanbul
89,Bert Lewsy,Adana
90,Caryl Hanscombe,Mersin
91,Thedrick Mitchelson,Konya
92,Brock Osgordby,İstanbul
93,Izaak Morcom,İzmir
94,Willabella Rockhall,Kayseri
95,Elicia Roscher,Mersin
96,Billy Childes,Mersin
97,Alyson Wincom,İstanbul
98,Alvin Chastenet,Gaziantep
99,Denise Curd,Adana
100,Chaim Yerill,Gaziantep
